2026-06-28 20:10:12,357 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:10:18,868 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:10:21,713 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:10:37,180 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:10:49,815 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:10:57,047 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:11:16,322 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:11:23,879 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:11:41,923 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:11:49,192 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:11:55,943 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:12:00,523 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:12:16,132 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:12:22,462 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:12:49,520 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-06-28 20:12:55,816 - INFO - tikvahpharma: 50 messages scraped, 15 images downloaded.
2026-06-28 20:12:55,819 - INFO - Disconnecting from 149.154.167.92:443/TcpFull...
2026-06-28 20:12:55,819 - INFO - Disconnection from 149.154.167.92:443/TcpFull complete!
